Date,Opponent,GS,MIN,FGM/A,%,3FG/A,%,FTM/A,%,OFF,DEF,TOT,AVG,PF,AST,T/O,BLK,STL,PTS,AVG
11/10/17, Northern Iowa,,2,0-0,.000,0-0,.000,0-0,.000,0,2,2,2.0,0,0,0,0,0,0,0.0
11/20/17,at STANFORD,,2,1-1,1.000,0-0,.000,0-0,.000,0,0,0,1.0,0,0,0,0,0,2,1.0
11/23/17,vs Portland,,2,0-0,.000,0-0,.000,0-0,.000,0,1,1,1.0,0,1,0,0,0,0,0.7
11/26/17,vs Michigan State,,2,0-0,.000,0-0,.000,0-0,.000,1,1,2,1.3,0,0,0,0,0,0,0.5
11/29/17, Michigan,,1,0-0,.000,0-0,.000,0-0,.000,0,0,0,1.0,0,0,1,0,0,0,0.4
12/01/17,at Davidson,,1,0-0,.000,0-0,.000,0-0,.000,0,0,0,0.8,0,0,0,0,0,0,0.3
12/03/17, Tulane,,3,0-0,.000,0-0,.000,0-0,.000,0,0,0,0.7,0,0,0,0,0,0,0.3
12/06/17, Western Carolina,,4,1-1,1.000,0-0,.000,0-0,.000,1,0,1,0.8,1,0,0,0,0,2,0.5
12/23/17,vs Ohio State,,0,0-0,.000,0-0,.000,0-0,.000,0,0,0,0.7,0,0,0,0,0,0,0.4
01/06/18,at Virginia,,1,0-0,.000,0-0,.000,0-0,.000,0,0,0,0.6,0,0,0,0,0,0,0.4
01/09/18, Boston College,,1,0-0,.000,0-0,.000,0-0,.000,0,0,0,0.5,0,0,0,0,0,0,0.4
01/16/18, Clemson,,1,0-0,.000,0-0,.000,0-0,.000,0,0,0,0.5,0,0,0,0,0,0,0.3
01/20/18, Georgia Tech,,1,0-0,.000,0-0,.000,0-0,.000,0,0,0,0.5,0,0,0,0,0,0,0.3
01/22/18,at Virginia Tech,,0,0-0,.000,0-0,.000,0-0,.000,0,0,0,0.4,0,0,0,0,0,0,0.3
02/03/18, Pittsburgh,,2,0-0,.000,0-0,.000,0-0,.000,0,0,0,0.4,0,0,0,0,0,0,0.3
02/12/18, Notre Dame,,1,0-0,.000,0-0,.000,0-0,.000,0,1,1,0.4,0,1,0,0,0,0,0.3
02/27/18, Miami,*,2,0-0,.000,0-0,.000,0-0,.000,0,1,1,0.5,0,0,1,0,0,0,0.2
03/07/18,vs Syracuse,,1,0-0,.000,0-0,.000,0-0,.000,0,0,0,0.4,0,0,0,0,0,0,0.2
03/08/18,vs Miami,,1,1-1,1.000,0-0,.000,0-1,.000,0,0,0,0.4,0,0,0,0,0,2,0.3
